dataset,method,num_clusters,sampling,pca,tp,fp,fn,tn,time
var1,kmeans,10,smote,15.0,159076,38716,101815,95982,3.043900966644287
var1,kmeans,30,smote,15.0,148317,49475,86748,111049,6.215065956115723
var1,kmeans++,5,smote,15.0,135189,62603,82022,115775,2.5877532958984375
var1,kmeans++,10,smote,15.0,147341,50451,88564,109233,2.93831729888916
var1,kmeans++,30,smote,15.0,142916,54876,78202,119595,5.139533281326294
var1,kmeans,5,smote,,127189,70603,72187,125610,2.8936495780944824
var1,kmeans,10,smote,,147480,50312,89030,108767,3.6165361404418945
var1,kmeans,30,smote,,152754,45038,90551,107246,4.842573881149292
var1,kmeans++,5,smote,,126892,70900,72607,125190,2.9495797157287598
var1,kmeans++,10,smote,,150126,47666,96785,101012,5.170997619628906
var1,kmeans++,30,smote,,155276,42516,92383,105414,5.426068067550659
var1,kmeans,5,ros,5.0,155295,42497,102193,95604,1.1697862148284912
var1,kmeans,10,ros,5.0,145771,52021,91181,106616,1.408050537109375
var1,kmeans,30,ros,5.0,140758,57034,82445,115352,2.740987777709961
var1,kmeans++,5,ros,5.0,146318,51474,87862,109935,1.0095694065093994
var1,kmeans++,10,ros,5.0,156043,41749,99723,98074,1.2706263065338135
var1,kmeans++,30,ros,5.0,146460,51332,88148,109649,2.6088619232177734
var1,kmeans,5,ros,15.0,129313,68479,77322,120475,1.6615512371063232
var1,kmeans,10,ros,15.0,151644,46148,92852,104945,2.223348379135132
var1,kmeans,30,ros,15.0,148054,49738,83896,113901,4.643665075302124
var1,kmeans++,5,ros,15.0,126754,71038,70995,126802,1.654843807220459
var1,kmeans++,10,ros,15.0,142701,55091,83855,113942,1.9353580474853516
var1,kmeans++,30,ros,15.0,150695,47097,88070,109727,4.356717586517334
var1,kmeans,5,ros,,147567,50225,88175,109622,2.477731227874756
var1,kmeans,10,ros,,156081,41711,102962,94835,3.1464593410491943
var1,kmeans,30,ros,,146002,51790,80402,117395,5.471595048904419
var1,kmeans++,5,ros,,126788,71004,70983,126814,2.4713294506073
var1,kmeans++,10,ros,,143216,54576,82011,115786,3.2256646156311035
var1,kmeans++,30,ros,,150243,47549,87600,110197,4.809557199478149
var1,kmeans,5,under,5.0,1531,665,927,1289,0.23350024223327637
var1,kmeans,10,under,5.0,1707,519,1063,1123,0.22469878196716309
var1,kmeans,30,under,5.0,1758,461,1043,1150,0.24053597450256348
var1,kmeans++,5,under,5.0,1705,448,1112,1147,0.22359085083007812
var1,kmeans++,10,under,5.0,1710,448,1136,1118,0.21421527862548828
var1,kmeans++,30,under,5.0,1674,550,1028,1160,0.2703373432159424
var1,kmeans,5,under,15.0,1822,441,1110,1039,0.27045488357543945
var1,kmeans,10,under,15.0,1756,494,1138,1024,0.2619354724884033
var1,kmeans,30,under,15.0,1702,527,931,1252,0.28857851028442383
var1,kmeans++,5,under,15.0,1380,800,831,1401,0.25028443336486816
var1,kmeans++,10,under,15.0,1795,448,1031,1138,0.2541201114654541
var1,kmeans++,30,under,15.0,1647,532,979,1254,0.28308844566345215
var1,kmeans,5,under,,1741,526,1068,1077,0.12639188766479492
var1,kmeans,10,under,,1590,599,996,1227,0.1444549560546875
var1,kmeans,30,under,,1738,480,1042,1152,0.18721795082092285
var1,kmeans++,5,under,,1636,580,960,1236,0.1212003231048584
var1,kmeans++,10,under,,1598,597,1010,1207,0.13872742652893066
var1,kmeans++,30,under,,1640,525,965,1282,0.18287420272827148
var1,kmeans,5,,5.0,197779,0,2221,0,0.5001842975616455
var1,kmeans,10,,5.0,197779,0,2221,0,0.7225046157836914
var1,kmeans,30,,5.0,197779,0,2221,0,1.3955669403076172
var1,kmeans++,5,,5.0,197779,0,2221,0,0.5567877292633057
var1,kmeans++,10,,5.0,197779,0,2221,0,0.6506259441375732
var1,kmeans++,30,,5.0,197779,0,2221,0,1.5146026611328125
var1,kmeans,5,,15.0,197779,0,2221,0,0.620333194732666
var1,kmeans,10,,15.0,197779,0,2221,0,0.9867215156555176
var1,kmeans,30,,15.0,197779,0,2221,0,2.6122725009918213
var1,kmeans++,5,,15.0,197779,0,2221,0,0.6080870628356934
var1,kmeans++,10,,15.0,197779,0,2221,0,0.8611340522766113
var1,kmeans++,30,,15.0,197779,0,2221,0,2.7280898094177246
var1,kmeans,5,,,197779,0,2221,0,0.8025498390197754
var1,kmeans,10,,,197779,0,2221,0,1.252535343170166
var1,kmeans,30,,,197779,0,2221,0,2.776421070098877
var1,kmeans++,5,,,197779,0,2221,0,1.1073944568634033
var1,kmeans++,10,,,197779,0,2221,0,1.4615797996520996
var1,kmeans++,30,,,197779,0,2221,0,2.6583902835845947
var2,kmeans,5,smote,5.0,126043,71793,75972,121781,1.2062931060791016
var2,kmeans,10,smote,5.0,114178,83658,50855,146898,1.4956183433532715
var2,kmeans,30,smote,5.0,129468,68368,55889,141864,2.9131662845611572
var2,kmeans++,5,smote,5.0,116388,81448,54096,143657,1.1943962574005127
var2,kmeans++,10,smote,5.0,134221,63615,69056,128697,1.5553605556488037
var2,kmeans++,30,smote,5.0,137736,60100,65055,132698,3.1941111087799072
var2,kmeans,5,smote,15.0,127636,70200,59948,137805,2.45111346244812
var2,kmeans,10,smote,15.0,138996,58840,73459,124294,3.0387778282165527
var2,kmeans,30,smote,15.0,126907,70929,51600,146153,6.781503200531006
var2,kmeans++,5,smote,15.0,115675,82161,57307,140446,2.484454870223999
var2,kmeans++,10,smote,15.0,152679,45157,85369,112384,2.8838460445404053
var2,kmeans++,30,smote,15.0,138862,58974,67147,130606,6.446630954742432
var2,kmeans,5,smote,,126371,71465,62028,135725,2.9888651371002197
var2,kmeans,10,smote,,137442,60394,69665,128088,4.889537811279297
var2,kmeans,30,smote,,139146,58690,68094,129659,6.350942134857178
var2,kmeans++,5,smote,,134385,63451,72563,125190,2.9384186267852783
var2,kmeans++,10,smote,,159326,38510,92871,104882,3.675036668777466
var2,kmeans++,30,smote,,135889,61947,60036,137717,5.9317991733551025
var2,kmeans,5,ros,5.0,116390,81446,54081,143672,1.19020414352417
var2,kmeans,10,ros,5.0,135939,61897,71306,126447,1.3996856212615967
var2,kmeans,30,ros,5.0,146534,51302,74050,123703,3.259591817855835
var2,kmeans++,5,ros,5.0,115027,82809,54713,143040,1.000802755355835
var2,kmeans++,10,ros,5.0,115221,82615,49195,148558,1.5787014961242676
var2,kmeans++,30,ros,5.0,138856,58980,65926,131827,2.760456085205078
var2,kmeans,5,ros,15.0,115152,82684,58199,139554,1.7072017192840576
var2,kmeans,10,ros,15.0,151525,46311,86596,111157,1.9838330745697021
var2,kmeans,30,ros,15.0,144962,52874,71802,125951,4.274059057235718
var2,kmeans++,5,ros,15.0,144851,52985,71942,125811,1.8466076850891113
var2,kmeans++,10,ros,15.0,152450,45386,88637,109116,2.1604251861572266
var2,kmeans++,30,ros,15.0,148160,49676,77733,120020,4.526670455932617
var2,kmeans,5,ros,,127422,70414,60400,137353,2.387251138687134
var2,kmeans,10,ros,,132032,65804,66708,131045,3.1606035232543945
var2,kmeans,30,ros,,133725,64111,64917,132836,6.5264575481414795
var2,kmeans++,5,ros,,132552,65284,79601,118152,2.6074373722076416
var2,kmeans++,10,ros,,152219,45617,88781,108972,3.2093734741210938
var2,kmeans++,30,ros,,145852,51984,72732,125021,5.046021223068237
var2,kmeans,5,under,5.0,1766,473,998,1175,0.23133397102355957
var2,kmeans,10,under,5.0,1408,822,546,1636,0.22998595237731934
var2,kmeans,30,under,5.0,1428,764,680,1540,0.24760222434997559
var2,kmeans++,5,under,5.0,1323,868,624,1597,0.21608209609985352
var2,kmeans++,10,under,5.0,1250,928,569,1665,0.2289741039276123
var2,kmeans++,30,under,5.0,1590,607,790,1425,0.24050688743591309
var2,kmeans,5,under,15.0,1600,582,815,1415,0.2554514408111572
var2,kmeans,10,under,15.0,1555,617,849,1391,0.274904727935791
var2,kmeans,30,under,15.0,1638,618,808,1348,0.2981302738189697
var2,kmeans++,5,under,15.0,1433,812,669,1498,0.2557356357574463
var2,kmeans++,10,under,15.0,1414,772,695,1531,0.2587153911590576
var2,kmeans++,30,under,15.0,1641,585,882,1304,0.29140186309814453
var2,kmeans,5,under,,1065,1137,555,1655,0.1348874568939209
var2,kmeans,10,under,,1647,536,1006,1223,0.1445472240447998
var2,kmeans,30,under,,1659,574,798,1381,0.17457842826843262
var2,kmeans++,5,under,,975,1274,459,1704,0.12259840965270996
